pair_id,category_id,logical_law,semantic_dimension,prompt_A,prompt_B
comm_conj_001,1,Commutative,Conjunctive,a red cat and a yellow apple on a wooden table,a yellow apple and a red cat on a wooden table
comm_conj_002,1,Commutative,Conjunctive,a blue dog and a yellow cat on a dark metal floor,a yellow cat and a blue dog on a dark metal floor
comm_conj_003,1,Commutative,Conjunctive,a red banana and a blue cat on a wooden table,a blue cat and a red banana on a wooden table
comm_conj_004,1,Commutative,Conjunctive,a blue dog and a yellow banana on a wooden table,a yellow banana and a blue dog on a wooden table
comm_conj_005,1,Commutative,Conjunctive,a blue banana and a red dog on a dark metal floor,a red dog and a blue banana on a dark metal floor
comm_horiz_001,2,Commutative,Horizontal,a green cat to the left of a red banana on a plain white surface,a red banana to the right of a green cat on a plain white surface
comm_horiz_002,2,Commutative,Horizontal,a green apple to the left of a red cat on a plain white surface,a red cat to the right of a green apple on a plain white surface
comm_horiz_003,2,Commutative,Horizontal,a red cat to the left of a green dog on a plain white surface,a green dog to the right of a red cat on a plain white surface
comm_horiz_004,2,Commutative,Horizontal,a green apple to the left of a red banana on a plain white surface,a red banana to the right of a green apple on a plain white surface
comm_horiz_005,2,Commutative,Horizontal,a red banana to the left of a blue apple on a plain white surface,a blue apple to the right of a red banana on a plain white surface
comm_vert_001,3,Commutative,Vertical,a green dog above a yellow cat on a wooden table,a yellow cat below a green dog on a wooden table
comm_vert_002,3,Commutative,Vertical,a blue apple above a red cat on a wooden table,a red cat below a blue apple on a wooden table
comm_vert_003,3,Commutative,Vertical,a yellow apple above a blue banana on a plain white surface,a blue banana below a yellow apple on a plain white surface
comm_vert_004,3,Commutative,Vertical,a blue apple above a green cat on a dark metal floor,a green cat below a blue apple on a dark metal floor
comm_vert_005,3,Commutative,Vertical,a green cat above a yellow banana on a wooden table,a yellow banana below a green cat on a wooden table
comm_attr_001,4,Commutative,Attributes,a small blue banana on a plain white surface,a blue small banana on a plain white surface
