pair_id,logical_law,category_id,semantic_dimension,image_variant,question,expected_answer
comm_conj_001,Commutative,1,Conjunctive,A,Is there a red cat in the image?,yes
comm_conj_001,Commutative,1,Conjunctive,A,Is there a yellow apple in the image?,yes
comm_conj_001,Commutative,1,Conjunctive,A,Are the cat and apple on a wooden table?,yes
comm_conj_001,Commutative,1,Conjunctive,A,Is the apple yellow in color?,yes
comm_conj_001,Commutative,1,Conjunctive,A,Is the cat red in color?,yes
comm_conj_001,Commutative,1,Conjunctive,B,Is there a red cat in the image?,yes
comm_conj_001,Commutative,1,Conjunctive,B,Is there a yellow apple in the image?,yes
comm_conj_001,Commutative,1,Conjunctive,B,Are the cat and apple on a wooden table?,yes
comm_conj_001,Commutative,1,Conjunctive,B,Is the apple yellow in color?,yes
comm_conj_001,Commutative,1,Conjunctive,B,Is the cat red in color?,yes
comm_conj_002,Commutative,1,Conjunctive,A,Is there a blue dog in the image?,yes
comm_conj_002,Commutative,1,Conjunctive,A,Is there a yellow cat in the image?,yes
comm_conj_002,Commutative,1,Conjunctive,A,Are the dog and cat on a floor?,yes
comm_conj_002,Commutative,1,Conjunctive,A,Is the floor dark and metallic?,yes
comm_conj_002,Commutative,1,Conjunctive,A,Are there exactly two animals in the scene?,yes
comm_conj_002,Commutative,1,Conjunctive,B,Is there a blue dog in the image?,yes
comm_conj_002,Commutative,1,Conjunctive,B,Is there a yellow cat in the image?,yes
comm_conj_002,Commutative,1,Conjunctive,B,Are the dog and cat on a floor?,yes
comm_conj_002,Commutative,1,Conjunctive,B,Is the floor dark and metallic?,yes
comm_conj_002,Commutative,1,Conjunctive,B,Are there exactly two animals in the scene?,yes
comm_conj_003,Commutative,1,Conjunctive,A,Is there a red banana in the image?,yes
comm_conj_003,Commutative,1,Conjunctive,A,Is there a blue cat in the image?,yes
comm_conj_003,Commutative,1,Conjunctive,A,Are the objects placed on a wooden table?,yes
comm_conj_003,Commutative,1,Conjunctive,A,Is the cat blue in color?,yes
comm_conj_003,Commutative,1,Conjunctive,A,Is the banana red in color?,yes
comm_conj_003,Commutative,1,Conjunctive,B,Is there a red banana in the image?,yes
comm_conj_003,Commutative,1,Conjunctive,B,Is there a blue cat in the image?,yes
comm_conj_003,Commutative,1,Conjunctive,B,Are the objects placed on a wooden table?,yes
comm_conj_003,Commutative,1,Conjunctive,B,Is the cat blue in color?,yes
comm_conj_003,Commutative,1,Conjunctive,B,Is the banana red in color?,yes
comm_conj_004,Commutative,1,Conjunctive,A,Is there a blue dog in the image?,yes
comm_conj_004,Commutative,1,Conjunctive,A,Is there a yellow banana in the image?,yes
comm_conj_004,Commutative,1,Conjunctive,A,Is the dog blue in color?,yes
comm_conj_004,Commutative,1,Conjunctive,A,Is the banana yellow in color?,yes
comm_conj_004,Commutative,1,Conjunctive,A,Is the scene set on a wooden table?,yes
comm_conj_004,Commutative,1,Conjunctive,B,Is there a blue dog in the image?,yes
comm_conj_004,Commutative,1,Conjunctive,B,Is there a yellow banana in the image?,yes
comm_conj_004,Commutative,1,Conjunctive,B,Is the dog blue in color?,yes
comm_conj_004,Commutative,1,Conjunctive,B,Is the banana yellow in color?,yes
comm_conj_004,Commutative,1,Conjunctive,B,Is the scene set on a wooden table?,yes
comm_conj_005,Commutative,1,Conjunctive,A,Is there a blue banana in the scene?,yes
comm_conj_005,Commutative,1,Conjunctive,A,Is there a red dog present?,yes
comm_conj_005,Commutative,1,Conjunctive,A,Is the floor made of metal?,yes
