pair_id,faith_A,faith_B,logical_law,category_id,semantic_dimension,faith_mean,faith_diff
assoc_attr_001,0.8,0.6,Associative,8,Attributes,0.7,0.20000000000000007
assoc_attr_002,1.0,1.0,Associative,8,Attributes,1.0,0.0
assoc_attr_003,0.8,1.0,Associative,8,Attributes,0.9,0.19999999999999996
assoc_attr_004,0.8,0.8,Associative,8,Attributes,0.8,0.0
assoc_attr_005,0.8,0.8,Associative,8,Attributes,0.8,0.0
assoc_conj_001,0.2,0.6,Associative,5,Conjunctive,0.4,0.39999999999999997
assoc_conj_002,0.6,0.6,Associative,5,Conjunctive,0.6,0.0
assoc_conj_003,0.6,0.6,Associative,5,Conjunctive,0.6,0.0
assoc_conj_004,0.6,0.6,Associative,5,Conjunctive,0.6,0.0
assoc_conj_005,0.8,0.6,Associative,5,Conjunctive,0.7,0.20000000000000007
assoc_horiz_001,1.0,0.6,Associative,6,Horizontal,0.8,0.4
assoc_horiz_002,0.4,0.8,Associative,6,Horizontal,0.6000000000000001,0.4
assoc_horiz_003,0.8,0.2,Associative,6,Horizontal,0.5,0.6000000000000001
assoc_horiz_004,0.8,0.8,Associative,6,Horizontal,0.8,0.0
assoc_horiz_005,0.6,0.6,Associative,6,Horizontal,0.6,0.0
assoc_vert_001,0.4,0.6,Associative,7,Vertical,0.5,0.19999999999999996
assoc_vert_002,0.4,0.4,Associative,7,Vertical,0.4,0.0
assoc_vert_003,0.2,0.6,Associative,7,Vertical,0.4,0.39999999999999997
assoc_vert_004,0.6,0.6,Associative,7,Vertical,0.6,0.0
assoc_vert_005,0.8,0.4,Associative,7,Vertical,0.6000000000000001,0.4
comm_attr_001,1.0,0.6,Commutative,4,Attributes,0.8,0.4
comm_attr_002,1.0,1.0,Commutative,4,Attributes,1.0,0.0
comm_attr_003,1.0,1.0,Commutative,4,Attributes,1.0,0.0
comm_attr_004,1.0,1.0,Commutative,4,Attributes,1.0,0.0
comm_attr_005,1.0,1.0,Commutative,4,Attributes,1.0,0.0
comm_conj_001,0.6,0.4,Commutative,1,Conjunctive,0.5,0.19999999999999996
comm_conj_002,0.6,0.4,Commutative,1,Conjunctive,0.5,0.19999999999999996
comm_conj_003,1.0,1.0,Commutative,1,Conjunctive,1.0,0.0
comm_conj_004,1.0,1.0,Commutative,1,Conjunctive,1.0,0.0
comm_conj_005,0.6,1.0,Commutative,1,Conjunctive,0.8,0.4
comm_horiz_001,1.0,1.0,Commutative,2,Horizontal,1.0,0.0
comm_horiz_002,0.6,1.0,Commutative,2,Horizontal,0.8,0.4
comm_horiz_003,0.8,0.6,Commutative,2,Horizontal,0.7,0.20000000000000007
comm_horiz_004,1.0,1.0,Commutative,2,Horizontal,1.0,0.0
comm_horiz_005,1.0,0.8,Commutative,2,Horizontal,0.9,0.19999999999999996
comm_vert_001,0.2,0.2,Commutative,3,Vertical,0.2,0.0
comm_vert_002,0.6,0.8,Commutative,3,Vertical,0.7,0.20000000000000007
comm_vert_003,0.8,0.8,Commutative,3,Vertical,0.8,0.0
comm_vert_004,0.6,0.4,Commutative,3,Vertical,0.5,0.19999999999999996
comm_vert_005,0.8,1.0,Commutative,3,Vertical,0.9,0.19999999999999996
compl_attr_001,1.0,0.8,Complement,16,Attributes,0.9,0.19999999999999996
compl_attr_002,1.0,1.0,Complement,16,Attributes,1.0,0.0
compl_attr_003,1.0,1.0,Complement,16,Attributes,1.0,0.0
compl_attr_004,1.0,0.8,Complement,16,Attributes,0.9,0.19999999999999996
compl_attr_005,0.8,0.8,Complement,16,Attributes,0.8,0.0
compl_conj_001,0.6,0.8,Complement,13,Conjunctive,0.7,0.20000000000000007
compl_conj_002,1.0,0.8,Complement,13,Conjunctive,0.9,0.19999999999999996
compl_conj_003,1.0,0.8,Complement,13,Conjunctive,0.9,0.19999999999999996
compl_conj_004,0.8,0.8,Complement,13,Conjunctive,0.8,0.0
compl_conj_005,1.0,1.0,Complement,13,Conjunctive,1.0,0.0
compl_horiz_001,0.6,1.0,Complement,14,Horizontal,0.8,0.4
compl_horiz_002,0.2,0.6,Complement,14,Horizontal,0.4,0.39999999999999997
compl_horiz_003,0.2,0.0,Complement,14,Horizontal,0.1,0.2
compl_horiz_004,0.4,0.2,Complement,14,Horizontal,0.30000000000000004,0.2
compl_horiz_005,0.4,0.4,Complement,14,Horizontal,0.4,0.0
compl_vert_001,0.2,1.0,Complement,15,Vertical,0.6,0.8
compl_vert_002,0.6,0.4,Complement,15,Vertical,0.5,0.19999999999999996
compl_vert_003,1.0,0.8,Complement,15,Vertical,0.9,0.19999999999999996
compl_vert_004,0.4,0.8,Complement,15,Vertical,0.6000000000000001,0.4
compl_vert_005,0.6,0.6,Complement,15,Vertical,0.6,0.0
